,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.18290928033812326,0.13068952391390098,0.0800723332558908,True,True,False,False
1,deg=1 eps=5,0.10713909012460487,-0.026997286981381485,0.23119661649006806,True,True,False,False
2,deg=2 eps=5,0.22893890614537915,0.11406576828490556,0.3855622359239863,True,True,False,False
3,deg=3 eps=5,0.4016424373678663,0.2887966434122007,0.22222210298839284,True,True,False,False
4,deg=5 eps=5,0.5549173041906321,0.25976118214695887,0.0885091330532275,True,True,False,False
5,deg=6 eps=5,0.7271533442446612,-1.3401386956179961,-1.9268490285497326,True,True,False,False
6,deg=7 eps=5,0.8431470834271555,-0.7968219345888867,-79.77702760410604,True,True,False,False
7,deg=8 eps=5,0.8568607939405242,-0.4923857197541117,-136.8807449277044,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=1 eps=5,0.01174667069960833,-0.018991783315703836,0.042762640116573936,True,True,False,False
2,deg=2 eps=5,0.07180881247813142,0.061209337570852895,0.16617761387784558,True,True,False,False
3,deg=3 eps=5,0.21815907029123238,0.23487440571339857,0.4016273863674342,True,True,False,False
4,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
5,deg=6 eps=5,0.7274816516736539,0.4545894455065911,-0.774661566564399,True,True,False,False
6,deg=7 eps=5,0.8334632836089603,0.2631485832694521,-5.814889993024477,True,True,False,False
7,deg=8 eps=5,0.8643342782754102,-0.00033725571070908344,-14.281648566530327,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.20823836913562532,0.11095821395671879,-5.103586302662896,True,True,False,False
1,deg=1 eps=5,-0.016453879034906915,0.0029953070982439156,0.1899713742688539,True,True,False,False
2,deg=2 eps=5,0.07734961162028287,0.09754571148813862,0.3796427020661922,True,True,False,False
3,deg=3 eps=5,0.21839902707174486,0.24307709641499753,0.6799084612922226,True,True,False,False
4,deg=5 eps=5,0.39774479798565876,0.43805901260984403,0.6090164177499905,True,True,False,False
5,deg=6 eps=5,0.4350164738689649,0.45473277552624947,0.7584351920602932,True,True,False,False
6,deg=7 eps=5,0.5794800498989976,0.4061586309369625,0.2708304287157769,True,True,False,False
7,deg=8 eps=5,0.8566501252772034,-0.5819609496398253,-0.7282460552781773,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.18290928033812326,0.13068952391390098,0.0800723332558908,True,True,False,False
1,deg=1 eps=5,0.10713909012460487,-0.026997286981381485,0.23119661649006806,True,True,False,False
2,deg=2 eps=5,0.22893890614537915,0.11406576828490556,0.3855622359239863,True,True,False,False
3,deg=3 eps=5,0.4016424373678663,0.2887966434122007,0.22222210298839284,True,True,False,False
4,deg=5 eps=5,0.5549173041906321,0.25976118214695887,0.0885091330532275,True,True,False,False
5,deg=6 eps=5,0.7271533442446612,-1.3401386956179961,-1.9268490285497326,True,True,False,False
6,deg=7 eps=5,0.8431470834271555,-0.7968219345888867,-79.77702760410604,True,True,False,False
7,deg=8 eps=5,0.8568607939405242,-0.4923857197541117,-136.8807449277044,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=1 eps=5,0.01174667069960833,-0.018991783315703836,0.042762640116573936,True,True,False,False
2,deg=2 eps=5,0.07180881247813142,0.061209337570852895,0.16617761387784558,True,True,False,False
3,deg=3 eps=5,0.21815907029123238,0.23487440571339857,0.4016273863674342,True,True,False,False
4,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
5,deg=6 eps=5,0.7274816516736539,0.4545894455065911,-0.774661566564399,True,True,False,False
6,deg=7 eps=5,0.8334632836089603,0.2631485832694521,-5.814889993024477,True,True,False,False
7,deg=8 eps=5,0.8643342782754102,-0.00033725571070908344,-14.281648566530327,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=5 eps=4,0.4622397166372235,0.44222845506511643,0.39013624915922784,True,True,False,False
2,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
3,deg=5 eps=7,0.4782158010625177,0.4413744046358937,0.41340101159784004,True,True,False,False
4,deg=6 eps=4,0.7130890435902644,0.44767187199831837,-0.6027115891315948,True,True,False,False
5,deg=6 eps=5,0.7274816516736539,0.4545894455065911,-0.774661566564399,True,True,False,False
6,deg=6 eps=7,0.7440160783529219,0.46057310267358464,-1.3298889460903442,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=5 eps=4,0.4622397166372235,0.44222845506511643,0.39013624915922784,True,True,False,False
2,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
3,deg=5 eps=7,0.4782158010625177,0.4413744046358937,0.41340101159784004,True,True,False,False
4,deg=5 eps=10,0.49257722639361645,0.44957679023469,0.4347680063895105,True,True,False,False
5,deg=6 eps=4,0.7130890435902644,0.44767187199831837,-0.6027115891315948,True,True,False,False
6,deg=6 eps=5,0.7274816516736539,0.4545894455065911,-0.774661566564399,True,True,False,False
7,deg=6 eps=7,0.7440160783529219,0.46057310267358464,-1.3298889460903442,True,True,False,False
8,deg=6 eps=10,0.7438879553720674,0.47150919273461245,-1.3467881497228968,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=5 eps=1,0.43307004515677516,0.41778489403104013,0.40073491704180986,True,True,False,False
2,deg=5 eps=4,0.4622397166372235,0.44222845506511643,0.39013624915922784,True,True,False,False
3,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
4,deg=5 eps=7,0.4782158010625177,0.4413744046358937,0.41340101159784004,True,True,False,False
5,deg=5 eps=10,0.49257722639361645,0.44957679023469,0.4347680063895105,True,True,False,False
6,deg=5 eps=15,0.5473091830841004,0.45791472361762087,0.30932944477076685,True,True,False,False
7,deg=5 eps=20,0.5703251357673154,0.4379215807748167,0.1920492450992476,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=5 eps=1,0.43307004515677516,0.41778489403104013,0.40073491704180986,True,True,False,False
2,deg=5 eps=4,0.4622397166372235,0.44222845506511643,0.39013624915922784,True,True,False,False
3,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
4,deg=5 eps=7,0.4782158010625177,0.4413744046358937,0.41340101159784004,True,True,False,False
5,deg=5 eps=10,0.49257722639361645,0.44957679023469,0.4347680063895105,True,True,False,False
6,deg=5 eps=15,0.5473091830841004,0.45791472361762087,0.30932944477076685,True,True,False,False
7,deg=5 eps=20,0.5703251357673154,0.4379215807748167,0.1920492450992476,True,True,False,False
8,deg=5 eps=30,0.5457987623408431,0.31658244511756983,-0.46533056172212106,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=5 eps=1,0.43307004515677516,0.41778489403104013,0.40073491704180986,True,True,False,False
2,deg=5 eps=4,0.4622397166372235,0.44222845506511643,0.39013624915922784,True,True,False,False
3,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
4,deg=5 eps=7,0.4782158010625177,0.4413744046358937,0.41340101159784004,True,True,False,False
5,deg=5 eps=10,0.49257722639361645,0.44957679023469,0.4347680063895105,True,True,False,False
6,deg=5 eps=15,0.5473091830841004,0.45791472361762087,0.30932944477076685,True,True,False,False
7,deg=5 eps=20,0.5703251357673154,0.4379215807748167,0.1920492450992476,True,True,False,False
8,deg=5 eps=30,0.5457987623408431,0.31658244511756983,-0.46533056172212106,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=5 eps=1,0.43307004515677516,0.41778489403104013,0.40073491704180986,True,True,False,False
2,deg=5 eps=4,0.4622397166372235,0.44222845506511643,0.39013624915922784,True,True,False,False
3,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
4,deg=5 eps=7,0.4782158010625177,0.4413744046358937,0.41340101159784004,True,True,False,False
5,deg=5 eps=10,0.49257722639361645,0.44957679023469,0.4347680063895105,True,True,False,False
6,deg=5 eps=15,0.5473091830841004,0.45791472361762087,0.30932944477076685,True,True,False,False
7,deg=5 eps=20,0.5703251357673154,0.4379215807748167,0.1920492450992476,True,True,False,False
8,deg=5 eps=30,0.5457987623408431,0.31658244511756983,-0.46533056172212106,True,True,False,False
