,name,category,1,2,3,4,5,6,7,time
178,dbmssodapls,0,51.0,8.0,0.0,1.0,0.0,0.0,0.0,0.554
179,dbmssodapls,0,51.0,8.0,0.0,1.0,0.0,0.0,0.0,0.554
180,dbmssodautil,0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.353
181,dbmssodautil,0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.353
182,bug_31760592_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.343
183,bug_31760592_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.343
184,bug_31628311_apply,0,58.0,0.0,0.0,1.0,2.0,0.0,0.0,0.561
185,bug_31628311_apply,0,58.0,0.0,0.0,1.0,2.0,0.0,0.0,0.561
186,bug_31193292_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.393
187,bug_31193292_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.393
188,bug_31816631_apply,0,58.0,5.0,2.0,1.0,1.0,0.0,0.0,0.365
189,bug_31816631_apply,0,58.0,5.0,2.0,1.0,1.0,0.0,0.0,0.365
190,cdcore_privs,0,52.0,41.0,0.0,1.0,105.0,0.0,0.0,4.082
191,cdcore_privs,0,52.0,41.0,0.0,1.0,105.0,0.0,0.0,4.082
192,cdoptim,1,47.0,40.0,0.0,1.0,195.0,0.0,3.0,3.568
193,cdoptim,1,47.0,40.0,0.0,1.0,195.0,0.0,3.0,3.568
194,bug31092921_apply,0,57.0,0.0,0.0,1.0,1.0,0.0,1.0,0.405
195,bug31092921_apply,0,57.0,0.0,0.0,1.0,1.0,0.0,1.0,0.405
196,catspace,3,158.0,77.0,0.0,4.0,181.0,0.0,4.0,5.201
197,catspace,3,158.0,77.0,0.0,4.0,181.0,0.0,4.0,5.201
198,catlmnr,1,16605.0,15.0,0.0,3.0,142.0,0.0,0.0,1.695
199,catlmnr,1,16605.0,15.0,0.0,3.0,142.0,0.0,0.0,1.695
200,catappcont,0,50.0,17.0,0.0,1.0,12.0,0.0,2.0,1.08
201,catappcont,0,50.0,17.0,0.0,1.0,12.0,0.0,2.0,1.08
202,catbctab,0,48.0,14.0,0.0,1.0,38.0,0.0,0.0,0.696
203,catbctab,0,48.0,14.0,0.0,1.0,38.0,0.0,0.0,0.696
204,catjobq,0,47.0,6.0,0.0,1.0,9.0,0.0,0.0,0.643
205,catjobq,0,47.0,6.0,0.0,1.0,9.0,0.0,0.0,0.643
206,dbmsperf,0,48.0,1.0,0.0,1.0,12.0,0.0,2.0,0.359
207,dbmsperf,0,48.0,1.0,0.0,1.0,12.0,0.0,2.0,0.359
208,dbmscert,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.358
209,dbmscert,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.358
210,dbmsbctab,0,49.0,2.0,0.0,1.0,0.0,0.0,0.0,0.368
211,dbmsbctab,0,49.0,2.0,0.0,1.0,0.0,0.0,0.0,0.368
212,dbmstbdat,0,49.0,1.0,0.0,1.0,0.0,0.0,0.0,0.378
213,dbmstbdat,0,49.0,1.0,0.0,1.0,0.0,0.0,0.0,0.378
214,catplug,0,47.0,6.0,0.0,1.0,76.0,0.0,0.0,0.664
215,catplug,0,47.0,6.0,0.0,1.0,76.0,0.0,0.0,0.664
216,execemx,0,47.0,0.0,0.0,1.0,2.0,0.0,0.0,1.597
217,execemx,0,47.0,0.0,0.0,1.0,2.0,0.0,0.0,1.597
218,catgwmcat,0,49.0,177.0,1.0,1.0,99.0,0.0,2.0,4.756
219,catgwmcat,0,49.0,177.0,1.0,1.0,99.0,0.0,2.0,4.756
220,bug_31145804_apply,1,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.345
221,bug_31145804_apply,1,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.345
222,bug_31011361_apply,0,58.0,0.0,0.0,1.0,13.0,0.0,0.0,0.418
223,bug_31011361_apply,0,58.0,0.0,0.0,1.0,13.0,0.0,0.0,0.418
224,sdonetmd,0,86301.0,29.0,0.0,1.0,41.0,140.0,0.0,3.149
225,sdonetmd,0,86301.0,29.0,0.0,1.0,41.0,140.0,0.0,3.149
226,bug_31942136_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.437
227,bug_31942136_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.437
228,cataudit,3,48.0,57.0,22.0,1.0,168.0,0.0,4.0,3.245
229,cataudit,3,48.0,57.0,22.0,1.0,168.0,0.0,4.0,3.245
230,execai,1,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.386
231,execai,1,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.386
232,deptxn,0,46.0,8.0,0.0,1.0,8.0,0.0,0.0,0.62
233,deptxn,0,46.0,8.0,0.0,1.0,8.0,0.0,0.0,0.62
234,bug_31945038_apply,0,58.0,0.0,1.0,1.0,2.0,0.0,0.0,0.356
235,bug_31945038_apply,0,58.0,0.0,1.0,1.0,2.0,0.0,0.0,0.356
236,sdogr,0,132975.0,0.0,1.0,1.0,0.0,534.0,0.0,0.425
237,sdogr,0,132975.0,0.0,1.0,1.0,0.0,534.0,0.0,0.425
238,catjsont,0,48.0,6.0,0.0,1.0,3.0,0.0,0.0,0.508
239,catjsont,0,48.0,6.0,0.0,1.0,3.0,0.0,0.0,0.508
240,catmaintplan,0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,0.398
241,catmaintplan,0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,0.398
242,catsnap,3,47.0,94.0,0.0,1.0,179.0,0.0,30.0,6.378
243,catsnap,3,47.0,94.0,0.0,1.0,179.0,0.0,30.0,6.378
244,dbmsmaintplan,1,53.0,1.0,0.0,1.0,0.0,0.0,0.0,0.357
245,dbmsmaintplan,1,53.0,1.0,0.0,1.0,0.0,0.0,0.0,0.357
246,bug_31993795_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.352
247,bug_31993795_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.352
248,bug_32080081_apply,0,58.0,1.0,0.0,1.0,4.0,0.0,1.0,4.08
249,bug_32080081_apply,0,58.0,1.0,0.0,1.0,4.0,0.0,1.0,4.08
250,bug_31462082_apply,0,58.0,0.0,0.0,1.0,2.0,0.0,0.0,0.362
251,bug_31462082_apply,0,58.0,0.0,0.0,1.0,2.0,0.0,0.0,0.362
252,catmaintplanv,0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35
253,catmaintplanv,0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35
254,bug_29831567_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.548
255,bug_29831567_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.548
256,catstrr,0,47.0,33.0,0.0,1.0,79.0,0.0,0.0,3.991
257,catstrr,0,47.0,33.0,0.0,1.0,79.0,0.0,0.0,3.991
258,bug_32124176_apply,0,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.374
259,bug_32124176_apply,0,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.374
260,bug_32218552_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.355
261,bug_32218552_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.355
262,dbmsappcon,0,50.0,2.0,0.0,1.0,11.0,0.0,0.0,0.378
263,dbmsappcon,0,50.0,2.0,0.0,1.0,11.0,0.0,0.0,0.378
264,bug31374373,0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.437
265,bug31374373,0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.437
266,bug_32190284_apply,0,58.0,0.0,1.0,1.0,0.0,0.0,0.0,0.353
267,bug_32190284_apply,0,58.0,0.0,1.0,1.0,0.0,0.0,0.0,0.353
268,bug_30310195_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.359
269,bug_30310195_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.359
270,bug_32252294_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.358
271,bug_32252294_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.358
272,bug_32355765_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.35
273,bug_32355765_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.35
274,dbmsedu2,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.348
275,dbmsedu2,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.348
276,utlrcmp2,0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.342
277,utlrcmp2,0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.342
278,bug_32603152_postapply,0,62.0,0.0,0.0,1.0,2.0,0.0,0.0,0.442
279,bug_32603152_postapply,0,62.0,0.0,0.0,1.0,2.0,0.0,0.0,0.442
280,bug_17777718_apply,0,58.0,8.0,0.0,1.0,68.0,0.0,0.0,0.798
281,bug_17777718_apply,0,58.0,8.0,0.0,1.0,68.0,0.0,0.0,0.798
282,bug_32438777_apply,0,58.0,0.0,0.0,1.0,4.0,0.0,1.0,3.689
283,bug_32438777_apply,0,58.0,0.0,0.0,1.0,4.0,0.0,1.0,3.689
284,bug31115653_postapply,0,61.0,0.0,0.0,1.0,1.0,0.0,0.0,0.438
285,bug31115653_postapply,0,61.0,0.0,0.0,1.0,1.0,0.0,0.0,0.438
286,32385068_apply,0,6067.0,2.0,0.0,1.0,3.0,8.0,0.0,1.063
287,32385068_apply,0,6067.0,2.0,0.0,1.0,3.0,8.0,0.0,1.063
288,bug_32003908_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.34
289,bug_32003908_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.34
290,cdhcs,2,45.0,328.0,0.0,1.0,380.0,0.0,0.0,14.883
291,cdhcs,2,45.0,328.0,0.0,1.0,380.0,0.0,0.0,14.883
292,dbmshier,1,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.364
293,dbmshier,1,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.364
294,bug_31926848_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.424
295,bug_31926848_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.424
296,bug_33109335_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.356
297,bug_33109335_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.356
298,bug_32583355_apply,0,58.0,0.0,3.0,1.0,9.0,0.0,0.0,0.909
299,bug_32583355_apply,0,58.0,0.0,3.0,1.0,9.0,0.0,0.0,0.909
300,catggshard,0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.362
301,catggshard,0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.362
302,bug_32610271_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.345
303,bug_32610271_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.345
304,dbmsstr,0,7742508.0,35.0,2.0,48.0,4.0,0.0,0.0,0.813
305,dbmsstr,0,7742508.0,35.0,2.0,48.0,4.0,0.0,0.0,0.813
306,dbmsatsk,0,48.0,8.0,0.0,1.0,0.0,0.0,0.0,0.388
307,dbmsatsk,0,48.0,8.0,0.0,1.0,0.0,0.0,0.0,0.388
308,dbmsawr,0,47.0,3.0,0.0,1.0,2.0,0.0,7.0,0.375
309,dbmsawr,0,47.0,3.0,0.0,1.0,2.0,0.0,7.0,0.375
310,dbmschnf,0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.346
311,dbmschnf,0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.346
312,dbmsfus,0,47.0,1.0,0.0,1.0,2.0,0.0,0.0,0.353
313,dbmsfus,0,47.0,1.0,0.0,1.0,2.0,0.0,0.0,0.353
314,dbmsidxu,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.362
315,dbmsidxu,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.362
316,dbmsmb,0,46.0,1.0,0.0,1.0,0.0,0.0,0.0,0.353
317,dbmsmb,0,46.0,1.0,0.0,1.0,0.0,0.0,0.0,0.353
318,dbmsmntr,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.357
319,dbmsmntr,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.357
320,dbmspspi,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.356
321,dbmspspi,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.356
322,dbmsres,0,47.0,2.0,0.0,1.0,0.0,0.0,0.0,0.368
323,dbmsres,0,47.0,2.0,0.0,1.0,0.0,0.0,0.0,0.368
324,dbmsslrt,0,48.0,3.0,0.0,1.0,0.0,0.0,0.0,0.676
325,dbmsslrt,0,48.0,3.0,0.0,1.0,0.0,0.0,0.0,0.676
326,dbmsslxp,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.358
327,dbmsslxp,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.358
328,dbmstran,0,48.0,4.0,0.0,1.0,0.0,0.0,0.0,0.377
329,dbmstran,0,48.0,4.0,0.0,1.0,0.0,0.0,0.0,0.377
330,dbmstxin,0,48.0,2.0,0.0,1.0,0.0,0.0,0.0,0.386
331,dbmstxin,0,48.0,2.0,0.0,1.0,0.0,0.0,0.0,0.386
332,dbmsuadv,1,48.0,4.0,0.0,1.0,0.0,0.0,7.0,0.392
333,dbmsuadv,1,48.0,4.0,0.0,1.0,0.0,0.0,7.0,0.392
334,dbmsumf,0,47.0,1.0,0.0,1.0,0.0,0.0,0.0,0.359
335,dbmsumf,0,47.0,1.0,0.0,1.0,0.0,0.0,0.0,0.359
336,dbmssrv,0,47.0,2.0,0.0,1.0,1.0,0.0,0.0,0.396
337,dbmssrv,0,47.0,2.0,0.0,1.0,1.0,0.0,0.0,0.396
338,bug_32952285_apply,0,58.0,20.0,0.0,1.0,10.0,0.0,0.0,1.108
339,bug_32952285_apply,0,58.0,20.0,0.0,1.0,10.0,0.0,0.0,1.108
340,bug_33253504_apply,0,58.0,0.0,0.0,1.0,2.0,0.0,0.0,0.912
341,bug_33253504_apply,0,58.0,0.0,0.0,1.0,2.0,0.0,0.0,0.912
342,sdocs,0,44710.0,6.0,0.0,1.0,2.0,130.0,1.0,1.975
343,sdocs,0,44710.0,6.0,0.0,1.0,2.0,130.0,1.0,1.975
344,29201539_apply,1,1680.0,0.0,0.0,1.0,0.0,4.0,0.0,0.379
345,29201539_apply,1,1680.0,0.0,0.0,1.0,0.0,4.0,0.0,0.379
346,32131774_apply,1,1934.0,0.0,0.0,1.0,0.0,4.0,0.0,0.777
347,32131774_apply,1,1934.0,0.0,0.0,1.0,0.0,4.0,0.0,0.777
348,epsgsrids32987004,0,53359.0,1.0,1.0,0.0,32.0,100.0,0.0,0.845
349,epsgsrids32987004,0,53359.0,1.0,1.0,0.0,32.0,100.0,0.0,0.845
350,bug_31639082_apply,1,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.374
351,bug_31639082_apply,1,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.374
352,bug_32440681_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.352
353,bug_32440681_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.352
354,catqos,0,46.0,26.0,1.0,1.0,21.0,0.0,0.0,0.688
355,catqos,0,46.0,26.0,1.0,1.0,21.0,0.0,0.0,0.688
