prvsash,47,1,0,1,12,0,1
prvsspmi,48,0,0,1,0,0,9
prvtsrv,47,2,0,1,11,0,0
prvtash,47,0,0,1,607,0,24
could  not find MAIN: /ade/jorgdiaz_ds19/emdb/test/src/tvmd/tvmdm/tvmdmd/tvmdmdi/prvtsqlt.sql
prvtaii,47,0,0,1,210,0,13
prvthdm,47,0,0,1,222,0,2
could  not find MAIN: /ade/jorgdiaz_ds19/emdb/test/src/tvmd/tvmdm/tvmdmd/tvmdmdi/prvtsqlu.sql
prvtspmi,48,0,0,1,135,0,158
prvtspm,47,0,0,1,5,0,28
prvtstai,48,10,3,1,703,0,17
prvtoptim,23,0,0,0,31,0,1
prvtsqlqi,49,0,0,1,13,0,0
prvtemxi,48,1,0,1,13,0,6
prvtdputh,49,0,0,1,0,0,0
could  not find MAIN: /ade/jorgdiaz_ds19/emdb/test/src/tvmd/tvmdm/tvmdmd/tvmdmdi/prvtwrr.sql
prvtdput,48,1,0,1,12,0,1
prvthpui,48,1,0,1,0,0,0
prvtbpui,48,0,0,1,14,0,0
prvtbpw,47,4,0,1,308,0,367
prvtcs,413564,1,0,1,238,768,4
prvtgmd,69805,7,0,1,26,127,0
prvtbpm,47,0,0,1,230,0,322
dbmsrmin,48,3,0,1,0,0,0
prvtrmad,48,0,0,1,0,0,0
prvtfspi,48,12,0,1,175,0,5
prvtgrxh,17970,0,1,1,0,41,0
prvtgr,361925,1,0,1,40,1587,0
prvtgrxb,41611,0,0,1,0,43,0
prvtawr,47,1,0,1,305,0,301
prvtawrs,48,0,0,1,1629,0,134
prvtstat,48,0,0,1,159,0,40
prvsawrs,48,1,0,1,0,0,9
prvtbsch,48,2,0,1,190,0,7
prvtspcu,48,2,0,1,279,0,10
prvtmacp,48,7,2,1,98,0,0
prvtsodacoll,52,0,0,1,16,3,0
prvtaqiu,48,0,0,1,32,0,13
prvtilm,47,0,0,1,322,0,124
prvtaqxe,48,0,0,1,47,0,0
prvtaqis,48,0,0,1,123,0,0
prvtaqim,48,1,0,1,140,0,3
prvtaqmi,48,0,0,1,88,0,0
prvtaqds,48,20,2,1,278,0,101
prvttxfm,48,0,0,1,4,0,0
prvtsmbi,48,0,0,1,6,0,12
prvtjson,48,1,0,1,14,0,0
prvtai,46,0,0,1,10,0,1
prvtstatadvi,52,0,0,1,53,0,0
prvsaii,47,0,0,1,0,0,2
prvsawr,47,0,0,1,1,0,7
prvsumfi,48,0,0,1,0,0,2
prvtsnap,48,3,0,1,217,0,35
utlcoll,47,1,0,1,0,0,0
prvsemx_perf,52,0,0,1,0,0,0
prvsawrv,48,6,0,1,2,0,1
prvtrlsa,48,0,0,1,1,0,0
prvtemx_perf,52,0,0,1,31,0,0
prvtperf,48,0,0,1,192,0,35
prvtemx_rsrcmgr,55,0,0,1,128,0,2
prvtrep,47,0,0,1,47,0,0
prvtamgt,48,1,0,1,156,0,6
could  not find MAIN: /ade/jorgdiaz_ds19/emdb/source/oracle/sysman/emdrep/sql/db/latest/instance/prvtawrv.sql
prvtatsk,48,0,0,1,10,0,0
prvtautorep,51,0,0,1,22,0,0
prvtsqld,48,1,0,1,134,0,29
prvtds,46,7,0,1,17,0,0
prvtdiag,48,4,0,1,61,0,1
prvtredacta,51,0,0,1,6,0,0
prvtappcont,51,20,0,1,27,0,9
could  not find MAIN: /ade/jorgdiaz_ds19/sdo/admin/prvtpart.sql
prvthadoop1,75,1,0,2,64,0,0
prvt3glh,52307,0,0,1,0,320,0
prvtgeom,194400,2,0,1,25,554,0
sdoutlb,378240,2,0,1,70,764,0
prvtldap,48,2,0,1,0,0,0
prvtcapi,48,1,0,1,61,0,5
prvtinmemadmin,54,1,0,1,15,0,0
could  not find SUB: /ade_autofs/ud222_db/RDBMS_19.20.0.0.0DBRU_LINUX.X64.rdd/230714/rdbms/src/client/datapump/dml/bigsql/agent/&execfile
prvthadoop,74,0,0,3,2,0,0
prvtimd,50936,15,0,1,20,117,0
prvtsidx,172940,1,0,1,58,186,0
prvtpidx,20954,1,0,1,3,9,0
prvtmig,27249,1,0,1,17,37,0
prvttune,53135,3,0,1,40,61,0
sdoaggrb,43342,19,0,1,1,130,0
prvt3gl,138973,0,0,1,6,519,0
prvtsam,87387,2,0,1,48,139,0
sdoobjtrkrb,80296,1,0,1,10,30,49
prvtgri,482041,2,1,1,175,1158,4
prvtgrag,38060,1,0,1,12,169,0
prvttnpc,23400,1,0,1,22,28,0
prvtpc,256382,1,0,1,119,359,0
prvttin,80593,1,0,1,19,187,0
sdordfm,235319,2,0,1,20,157,2
sdordfb,1973283,205,0,2,835,683,170
prvtgwmco,49,3,0,1,20,0,7
prvtgwmdb,49,10,0,1,217,0,10
prvtgwmpl,49,5,0,1,775,0,9
prvtxpln,48,0,0,1,172,0,8
prvtxschu,49,1,0,1,0,0,0
prvtreut,48,0,0,1,0,0,0
prvtobtk,48,0,0,1,0,0,0
prvtemx_admin,53,5,3,1,177,0,0
prvtreie,48,11,0,1,29,0,0
prvtpexei,49,0,0,1,16,0,0
prvthpexei,50,0,0,1,0,0,0
prvtpexe,48,0,0,1,4,0,0
prvtaclsrv,50,0,0,1,59,0,0
execschlb,49,1,0,1,1,0,3
prvtsodadml,51,0,0,1,3,0,0
prvtsodadom,51,0,0,1,26,0,0
prvtsodapls,51,0,0,1,1,0,0
prvtsodautil,52,2,0,1,18,0,0
prvtpckl,48,1,1,1,15,0,0
prvtkzrxh,49,2,0,1,2,0,0
prvsemxi,48,0,0,1,0,0,0
prvsawri,48,0,0,1,0,0,4
prvthcap,48,1,0,1,0,0,0
prvtlmd,47,6,0,1,478,0,178
prvsspai,48,0,0,1,0,0,1
prvtbcap,48,0,0,1,82,2,1
prvtblut,48,0,0,1,64,0,3
prvtemx_dbhome,54,1,0,1,161,0,0
prvtemx_cell,52,0,0,1,485,0,27
prvtjob,47,1,0,1,4,0,0
prvtlmcb,48,6,0,1,320,0,0
prvtplts,48,0,0,1,129,0,0
prvtawri,48,1,0,1,107,0,17
prvtumfi,48,1,0,1,7,0,16
could  not find MAIN: /ade/jorgdiaz_ds19/emdb/test/src/tvmd/tvmdm/tvmdmd/tvmdmdi/prvtspai.sql
prvtdst,47,0,0,1,14,0,13
prvtcmpr,48,1,0,1,111,0,18
prvtsqlq,48,0,0,1,0,0,0
could  not find MAIN: /ade/jorgdiaz_ds19/rdbms/src/server/blockchain/prvtbctab.sql
could  not find MAIN: /ade/jorgdiaz_ds19/rdbms/src/server/blockchain/prvttbdat.sql
could  not find MAIN: /ade/jorgdiaz_ds19/rdbms/src/server/blockchain/prvtcert.sql
sdotopob,191650,8,0,1,194,568,0
prvtgwmut,49,15,16,1,128,0,10
prvtgwmcl,49,3,1,1,120,0,0
prvtbord,48,5,0,1,143,2,0
prvtsmb,47,0,0,1,9,0,4
prvtgrih,117560,4,1,1,0,676,0
execrsa,47,0,0,1,1,0,1
sdolrsb,323285,1,0,1,19,1414,0
prvtmaintplan,53,0,0,1,28,0,0
prvtbapp,48,0,0,1,102,0,0
prvtbstr,48,298,140,1,333,0,3
prvtbxstr,49,948,503,1,1246,0,0
prvthstr,48,2,0,1,0,0,0
could  not find MAIN: /ade/jorgdiaz_ds19/emdb/test/src/tvmd/tvmdm/tvmdmd/tvmdmdi/prvtsqli.sql
prvtbsdp,48,0,0,1,8,0,1
prvtappcon,50,0,0,1,0,0,0
prvtxdz0,48,4,0,1,10,0,0
prvtxdbz,48,1,0,1,25,0,0
prvtrctv2,49,0,0,1,17,0,0
prvtrcmp2,49,0,0,1,43,0,1
prvtedu2,48,0,0,1,0,0,0
prvtlmsb,48,0,0,1,51,0,7
prvthier,22,0,0,0,6,0,0
prvthidx,48,0,0,1,0,0,0
prvtpstdy,49,1,0,1,7,0,0
prvthcmp,48,0,0,1,0,0,0
prvthfgr,48,0,0,1,0,0,6
prvthfie,48,4,0,1,0,0,0
prvthitr,48,1,0,1,0,0,0
prvsfus,47,0,0,1,5,0,0
prvsfusc,48,0,0,1,0,0,0
prvtfus,47,0,0,1,19,0,0
prvtpspi,48,2,0,1,68,0,0
prvtuadv,48,0,0,1,14,0,0
prvthlrt,48,0,0,1,0,0,0
prvtxplni,49,0,0,1,23,0,0
prvtesch,48,2,0,1,46,0,0
prvtwlm,47,0,0,1,39,0,0
prvtrmin,48,4,0,1,96,0,43
prvtcsx,47,2,0,1,56,0,0
prvtsqtk,48,1,0,1,38,0,0
prvtgra,80824,1,0,1,87,134,0
prvtgru,97254,1,0,1,48,118,0
prvthsmt,48,1,0,1,0,0,0
prvthssm,48,1,0,1,0,0,0
prvthsrp,48,2,0,1,0,0,0
prvthsts,48,0,0,1,0,0,0
prvtadv,47,0,0,1,131,0,4
prvthxstr,49,6,0,1,7,0,0
prvtpq,46,0,0,1,1,0,0
prvtrmie,48,0,0,1,3,0,1
prvtrmpe,48,0,0,1,0,0,0
prvtrmge,48,0,0,1,0,0,0
prvtrmpa,48,0,0,1,1,0,0
prvtrtr,42475,6,3,1,3,43,0
prvthesh,48,12,0,1,0,0,0
prvtsqlf,48,0,0,1,12,0,0
could  not find MAIN: /ade/jorgdiaz_ds19/lprvtnotifications.sql
prvtcr,46,1,0,1,93,0,44
prvtmb,46,0,0,1,1,0,10
prvtinmemadvisor,56,1,0,1,27,5,15
