bug_29032457_apply,58,0,0,1,1,0,0
catcdbviews,51,1,0,1,9,0,0
cdcore_mig,50,0,0,1,110,0,3
cdcore_cols,51,36,0,1,78,0,0
bug29261906_apply,57,0,0,1,0,0,0
catappcontainer,55,8,0,1,16,0,0
catawrrtvw,38525,148,0,31,332,0,21
catawrpdbvw,38526,147,0,31,330,0,21
catawrvw,48,294,0,1,441,0,3
dbmssqlu,48,1,0,1,0,0,0
dbmssqlt,48,2,0,1,9,0,6
dbmsgwm,356325,27,1,17,2,0,7
dbmsoptim,23,0,0,0,0,0,0
catost,10930,54,0,3,521,0,8
dbmsrman,161,34,2,3,65,0,0
catadv,46,83,0,1,104,0,2
cataivw,47,12,0,1,29,0,2
execsmb,47,0,0,1,0,0,0
prvtgwm,937,33,0,17,4,0,0
catfusrg,48,0,0,1,977,12,63
bug29394140_apply,57,0,0,1,1,0,0
bug_29348176_apply,58,3,6,1,2,0,0
bug_29766207_apply,58,0,0,1,2,0,0
29201539_rollback,2086,0,0,1,0,4,0
could  not find SUB: /ade_autofs/ud222_db/RDBMS_19.20.0.0.0DBRU_LINUX.X64.rdd/230714/sdo/admin/md
catmdloc,948700,472,43,159,359,3431,26
could  not find SUB: /ade_autofs/ud222_db/RDBMS_19.20.0.0.0DBRU_LINUX.X64.rdd/230714/sdo/admin/catsem.sql;
sdosempatch,2007,0,0,2,0,2,0
dbmsbkrs,110,0,0,1,0,0,0
catmdh,24363,61,4,7,27,70,1
catmdlocp1,231412,63,0,27,205,866,18
sdoepsgx,17844,0,0,1,5,10,1
sdogmlsc,87148,1,0,1,6,21,6
sdowfscs,2545464,8,0,27,189,622,19
sdocswadm,7836,1,0,1,3,11,0
catmdsdop2,308182,66,4,60,29,853,0
sdogrxml,39486,1,0,1,1,5,0
catsem,2423,0,0,0,3,1,0
catmacp,47,1,0,1,5,0,0
catmacg,47,271,0,1,232,0,0
bug_29430866_apply,58,2,0,1,5,0,0
dbmssodacoll,52,1,0,1,0,0,0
nothing,21,0,0,0,0,0,0
bug_29784106_prepatch,119,0,0,3,3,0,1
bug_29202461_apply,58,0,0,1,1,0,0
bug_29784106_postpatch,121,0,0,3,2,0,0
depsaq,376,20,0,7,23,0,0
catxdbtm,48,4,0,1,10,0,3
catawrtb,48,21,0,1,43,0,14
dbmsai,46,1,0,1,0,0,2
bug_28935293_apply,58,6,0,1,9,0,0
bug_30264405_apply,58,0,0,1,3,0,0
30035598_apply,26727,0,0,0,40,27,0
bug_30305880_apply,58,0,0,1,3,0,0
bug29416700_apply,57,0,0,1,0,0,0
bug28628592_apply,275,0,0,5,2,0,0
catwrrvwp,49,30,0,1,54,0,109
dbmsrep,47,1,0,1,0,0,0
dbmsappcont,51,6,0,1,1,0,1
dbmshadp1,49,3,0,1,0,0,0
catmetloadxsl,53,0,0,1,5,0,8
bug_29738400_apply,58,0,0,1,6,0,0
dbmsjson,48,14,0,1,23,0,1
catwrrvwc,49,8,0,1,20,0,26
bug_29644426_apply,58,0,2,1,1,0,0
bug_31001455_apply,58,0,0,1,3,0,0
after_apply_script_30657706,67,0,0,1,0,0,0
dbmsgwmco,49,22,0,1,2,0,1
dbmsgwmut,49,1,1,1,0,0,3
dbmsgwmdb,49,0,0,1,0,0,1
dbmsgwmpl,49,0,0,1,0,0,2
could  not find SUB: /ade_autofs/ud222_db/RDBMS_19.20.0.0.0DBRU_LINUX.X64.rdd/230714/rdbms/admin/&execfile
dbmshadp,72,0,0,3,2,0,0
bug_29349874_apply,58,0,0,1,0,0,0
bug_28813931_apply,58,0,1,1,1,0,0
bug_30528547_apply,58,0,0,1,3,0,0
sdoutlh,61702,4,0,1,1,187,0
sdopidx,9410,1,0,1,0,5,0
sdoaggrh,16882,1,0,1,0,31,0
sdottsmeta,6605,1,0,1,9,23,0
bug31414524,51,0,0,1,0,0,0
bug_30952191_apply,58,0,0,1,1,0,0
standard,168762,1,0,5,12,0,1
stdbody,52,0,0,1,12,0,0
stdspec,52,0,0,1,0,0,1
bug_29443559_apply,58,3,0,1,4,0,2
catmvrs,47,0,0,1,1,0,1
dbmsobtk,48,1,0,1,0,0,0
catlsby,47,43,1,1,486,14,1
catpexev,48,10,0,1,27,0,0
bug_30416603_apply,58,0,0,1,1,0,0
dbmssodadom,51,1,0,1,12,0,0
dbmssodapls,51,8,0,1,0,0,0
dbmssodautil,52,0,0,1,0,0,0
bug_31760592_apply,58,0,0,1,1,0,0
bug_31628311_apply,58,0,0,1,2,0,0
bug_31193292_apply,58,0,0,1,1,0,0
bug_31816631_apply,58,5,2,1,1,0,0
cdcore_privs,52,41,0,1,105,0,0
cdoptim,47,40,0,1,195,0,3
bug31092921_apply,57,0,0,1,1,0,1
could  not find SUB: /ade_autofs/ud222_db/RDBMS_19.20.0.0.0DBRU_LINUX.X64.rdd/230714/rdbms/admin/dbmsspc
catspace,158,77,0,4,181,0,4
catlmnr,16605,15,0,3,142,0,0
catappcont,50,17,0,1,12,0,2
catbctab,48,14,0,1,38,0,0
catjobq,47,6,0,1,9,0,0
dbmsperf,48,1,0,1,12,0,2
dbmscert,48,1,0,1,0,0,0
dbmsbctab,49,2,0,1,0,0,0
dbmstbdat,49,1,0,1,0,0,0
catplug,47,6,0,1,76,0,0
execemx,47,0,0,1,2,0,0
catgwmcat,49,177,1,1,99,0,2
bug_31145804_apply,58,0,0,1,1,0,0
bug_31011361_apply,58,0,0,1,13,0,0
sdonetmd,86301,29,0,1,41,140,0
bug_31942136_apply,58,0,0,1,3,0,0
cataudit,48,57,22,1,168,0,4
execai,46,0,0,1,0,0,0
deptxn,46,8,0,1,8,0,0
bug_31945038_apply,58,0,1,1,2,0,0
sdogr,132975,0,1,1,0,534,0
catjsont,48,6,0,1,3,0,0
catmaintplan,52,1,0,1,0,0,0
catsnap,47,94,0,1,179,0,30
dbmsmaintplan,53,1,0,1,0,0,0
bug_31993795_apply,58,0,0,1,1,0,0
bug_32080081_apply,58,1,0,1,4,0,1
bug_31462082_apply,58,0,0,1,2,0,0
catmaintplanv,53,0,0,1,0,0,0
bug_29831567_apply,58,0,0,1,3,0,0
catstrr,47,33,0,1,79,0,0
bug_32124176_apply,58,0,0,1,0,0,0
bug_32218552_apply,58,0,0,1,1,0,0
dbmsappcon,50,2,0,1,11,0,0
bug31374373,51,0,0,1,0,0,0
bug_32190284_apply,58,0,1,1,0,0,0
bug_30310195_apply,58,0,0,1,1,0,0
bug_32252294_apply,58,0,0,1,1,0,0
bug_32355765_apply,58,0,0,1,1,0,0
dbmsedu2,48,1,0,1,0,0,0
utlrcmp2,48,0,0,1,0,0,0
bug_32603152_postapply,62,0,0,1,2,0,0
bug_17777718_apply,58,8,0,1,68,0,0
bug_32438777_apply,58,0,0,1,4,0,1
bug31115653_postapply,61,0,0,1,1,0,0
32385068_apply,6067,2,0,1,3,8,0
bug_32003908_apply,58,0,0,1,1,0,0
cdhcs,45,328,0,1,380,0,0
dbmshier,22,1,0,0,0,0,0
bug_31926848_apply,58,0,0,1,1,0,0
bug_33109335_apply,58,0,0,1,3,0,0
bug_32583355_apply,58,0,3,1,9,0,0
catggshard,50,0,1,1,0,0,0
bug_32610271_apply,58,0,0,1,1,0,0
dbmsstr,7742508,35,2,48,4,0,0
dbmsatsk,48,8,0,1,0,0,0
dbmsawr,47,3,0,1,2,0,7
dbmschnf,48,0,0,1,0,0,0
dbmsfus,47,1,0,1,2,0,0
dbmsidxu,48,1,0,1,0,0,0
dbmsmb,46,1,0,1,0,0,0
dbmsmntr,48,1,0,1,0,0,0
dbmspspi,48,1,0,1,0,0,0
dbmsres,47,2,0,1,0,0,0
dbmsslrt,48,3,0,1,0,0,0
dbmsslxp,48,1,0,1,0,0,0
dbmstran,48,4,0,1,0,0,0
dbmstxin,48,2,0,1,0,0,0
dbmsuadv,48,4,0,1,0,0,7
dbmsumf,47,1,0,1,0,0,0
dbmssrv,47,2,0,1,1,0,0
bug_32952285_apply,58,20,0,1,10,0,0
bug_33253504_apply,58,0,0,1,2,0,0
sdocs,44710,6,0,1,2,130,1
29201539_apply,1680,0,0,1,0,4,0
32131774_apply,1934,0,0,1,0,4,0
epsgsrids32987004,53359,1,1,0,32,100,0
bug_31639082_apply,58,0,0,1,1,0,0
bug_32440681_apply,58,0,0,1,1,0,0
catqos,46,26,1,1,21,0,0
bug_29931230_apply,58,0,0,1,1,0,0
bug_32567612_apply,58,0,0,1,2,0,0
dbmsplts,48,9,0,1,3,0,0
bug_31113455_apply,58,0,0,1,2,0,0
bug_29524043_apply,58,0,0,1,1,0,0
bug_29887840_apply,58,0,0,1,9,0,0
bug_30518114_apply,58,0,0,1,1,0,0
bug32506809_apply,57,0,0,1,5,0,0
bug-33344767_apply,58,0,0,1,0,0,0
cathive1,48,24,0,1,57,0,0
sdordfty,76284,7,0,1,3,61,0
catmdlocj,1272,0,0,1,1,1,1
dbmssts,47,1,0,1,0,0,0
bug_32012400_apply,58,0,0,1,3,0,0
bug_32258388_apply,58,0,0,1,3,0,0
catmacc,47,0,0,1,318,0,0
bug_32926653_apply,58,0,0,1,16,0,0
catcap,46,51,0,1,97,2,0
sdogeom,87875,0,1,1,0,209,0
bug_30865346_apply,58,0,0,1,2,0,0
bug_33648273_apply,58,0,0,1,2,0,0
could  not find MAIN: rdbms/admin/bug34113189.sql
bug_33270914_apply,58,0,0,1,1,0,0
bug_33313374_apply,58,0,0,1,1,0,0
catcheckviews,53,6,0,1,17,0,0
33955060_apply,4135,1,0,1,1,4,0
bug_34090927_apply,58,0,0,1,1,0,0
catschv,47,142,0,1,366,0,0
bug_28971177_apply,58,0,0,1,1,0,0
bug_32880490_apply,58,0,0,1,1,0,0
bug_33527739_apply,58,0,0,1,0,0,0
bug32425205_apply,1319,1,0,1,2,2,1
sdoepsgsrid32777,2295,1,1,0,0,4,0
sdoogcsrid9932775,12237,1,1,0,18,31,0
sdoepsgdatum6289,1693,1,1,0,1,6,0
bug_33513494_apply,58,0,0,1,2,0,0
catmacd,47,0,0,1,69,4,3
catnotifications,56,2,0,1,0,0,0
catnotificationsv,57,5,0,1,8,0,0
dbmsnotifications,57,1,0,1,0,0,0
catlmnr_mig,51,0,0,1,40,0,0
bug_29356306_apply,58,0,0,1,1,0,0
dbmstsdpm,49,2,0,1,1,0,0
epsgsrid8311,5770,1,1,0,9,17,0
bug_32634996_apply,58,1,0,1,1,0,0
bug_33759204_apply,58,0,0,1,2,0,0
dbmsfs,46,1,0,1,0,0,0
bug_33942581_apply,58,0,0,1,1,0,0
objnum_reuse_apply_script,123,0,0,3,6,0,0
dbmscr,263,25,0,4,39,0,8
dbmscrs,47,0,0,1,0,0,0
bug_35012866_apply,58,0,0,1,2,0,0
sdo_postapply,972,0,0,2,0,1,0
srid1005714,17509,1,1,0,27,47,0
bug_34496630_apply,58,0,0,1,1,0,0
bug_35170600_apply,58,0,0,1,1,0,0
dbmsinmemadvisor,56,1,0,1,0,0,3
bug_32378953_apply,58,0,0,1,6,0,2
