,grants,size,packages,alters,commands,commits,time
0,14,6039,87,2,955,23,44.344
1,11,5811,87,2,902,17,8.766
8,0,4845,9,5,59,26,13.421
9,0,15,0,0,2,0,3.683
14,0,235,0,0,9,0,27.398
15,0,18,1,1,2,0,3.242
27,0,18,0,0,0,0,4.776
40,0,49,2,2,12,0,9.917
52,0,83,10,0,18,0,7.377
53,0,98,10,1,21,0,5.842
55,0,75,10,0,16,0,5.783
56,14,370,14,9,79,0,5.88
58,0,12,0,0,3,0,6.751
61,0,20,1,1,3,0,3.546
63,1,96,0,0,24,6,7.632
70,80,27222,65,6,5200,85,58.481
71,112,12579,54,6,2155,61,22.692
73,14,3369,35,1,552,20,4.863
81,47,2164,0,0,541,0,5.649
82,83,1020,0,0,255,0,3.753
87,3104,68249,14,5,17004,8,177.03
95,164,4421,0,0,1100,0,9.164
108,39,2396,0,0,592,3,3.745
109,148,2912,0,0,638,0,3.985
110,147,2903,0,0,638,0,4.372
112,148,2912,0,0,638,0,5.691
113,779,15417,27,15,3435,0,25.992
114,21,2074,0,0,376,0,4.917
115,758,14893,0,0,3322,0,16.756
116,294,4120,0,0,1030,0,5.477
127,51,2366,2,0,587,3,7.549
145,0,11628,0,0,2907,4,5.216
148,2,88,2,2,19,0,13.467
151,0,24,0,0,6,0,6.877
156,561,4236,0,0,1055,2,7.09
163,176,1532,2,2,293,0,6.583
170,48,842,12,6,185,2,3.835
173,37,1064,0,0,266,0,3.632
187,2,78,1,0,11,0,3.627
190,42,3199,0,0,786,9,14.997
191,0,28,0,0,7,1,28.048
192,0,1504,0,0,348,1,6.748
194,0,3192,0,0,798,1,4.6
196,0,12,0,0,3,0,3.801
197,382,3940,24,12,945,2,10.105
202,386,7405,24,12,1777,7,39.339
207,0,41,0,0,10,0,9.412
208,1052,28087,0,0,7020,0,426.948
209,541,2172,0,0,543,0,85.786
210,468,1880,0,0,470,0,108.589
211,0,19496,0,0,4874,0,8.171
213,37,2278,0,0,568,0,9.412
215,6,2261,0,0,565,0,3.501
217,5,125,14,0,30,0,218.844
218,13,786,13,9,154,0,7.808
222,0,70,0,0,15,0,4.166
227,0,500,8,4,91,0,3.097
228,0,914,1,1,227,0,12.905
232,0,5471,24,0,1329,0,58.398
234,0,5467,24,0,1328,0,4.167
235,0,5468,24,0,1328,0,4.157
239,0,21,0,0,4,0,3.632
241,0,486,6,0,117,0,3.35
243,0,63,0,0,14,0,4.149
251,0,4103,84,0,594,5,15.052
253,0,1051,28,14,232,1,6.698
270,47,2286,55,31,498,3,5.116
273,47,2178,55,31,472,3,3.221
274,54,2418,0,0,592,0,24.065
278,12985,772433,5120,2054,57015,674,1583.03
280,4,699,3,3,136,0,3.99
281,881,120747,2057,114,2125,293,26.566
282,2169,63474,341,253,10594,23,254.211
283,250,1993,5,5,397,1,7.64
284,682,5335,34,23,1252,7,130.304
292,170,135074,1232,1182,1809,60,36.38
293,50,1664,0,0,416,0,5.631
295,9882,706581,5083,2035,39998,669,905.79
296,38,474,0,0,118,0,3.913
303,1145,29440,43,9,6889,3,97.846
307,154,5022,30,8,1217,0,21.731
308,1390,82648,177,19,9359,139,78.311
310,210,4770,6,5,1057,1,11.507
313,164,14805,166,80,568,25,27.731
314,794,50043,478,227,1897,55,278.215
315,268,22151,215,116,724,25,24.343
318,49,1828,0,6,367,2,4.435
342,142,6452,0,0,1613,0,14.719
348,55,2142,0,0,531,0,5.213
350,21,964,0,0,241,0,4.265
351,225,13030,0,0,3245,0,30.652
353,22,3037,0,0,759,0,4.916
354,24,1357,0,0,331,0,5.019
356,8,212,0,0,53,0,4.85
361,1387,16668,0,0,4167,0,33.145
362,328,12600,0,0,3150,0,32.686
365,114,4680,0,0,1170,0,15.035
366,40,1492,0,0,373,0,5.586
368,61,768,0,0,192,0,5.538
369,44,2504,0,0,622,0,6.536
372,64,3044,0,0,754,3,6.194
484,31,501,10,3,118,0,5.441
515,14,300,1,0,58,0,5.636
583,31,500,1,2,125,0,5.648
693,316,9923,32,5,764,2,9.169
697,13,442,36,19,92,0,4.303
700,0,768,0,0,192,0,4.381
704,122,4550,13,11,1070,9,17.287
705,110,5447,14,12,1066,9,7.454
706,100,4954,12,10,968,5,6.423
707,96,3619,6,5,706,5,5.048
715,0,2306,27,1,519,6,18.749
716,0,2381,27,1,513,6,4.084
721,53,41382,301,45,9530,165,224.756
722,79,33998,158,26,5311,117,40.38
724,34,8743,62,7,1334,34,8.894
754,0,1528,5,4,151,0,8.495
755,0,936,3,2,92,0,4.499
774,0,68,3,2,9,0,7.983
790,0,157,1,0,32,7,12.47
793,15,823,15,9,158,0,5.783
803,0,67,2,0,10,0,4.162
813,14,748,48,24,106,1,3.166
818,0,168,3,2,24,0,3.519
819,14,714,48,26,106,1,3.118
832,2,646,16,8,132,4,3.518
836,30,2747,76,52,386,1,4.652
867,0,368,24,24,83,0,3.576
872,0,1301,15,1,193,0,3.478
883,155,3773,18,12,853,51,22.954
884,73,1670,8,4,269,13,3.306
894,4,7431,341,317,438,0,13.734
907,164,4660,13,7,845,51,10.349
915,4,7457,343,319,443,0,12.309
1012,0,70,1,7,9,0,3.021
1195,58,850,33,42,122,0,5.647
1285,67,845,1,55,197,0,4.124
1335,0,1714,15,2,387,0,27.458
1346,6,830,58,31,153,0,4.413
1394,11,2984,66,58,67,4,3.045
1513,1,148,19,14,15,0,9.789
1576,3,2379,3,0,521,21,8.662
1580,0,8,0,0,2,0,6.275
1581,0,104,3,3,21,0,66.216
1585,90,3170,1,0,687,0,3.192
1652,22,540,0,0,111,0,4.408
1664,0,19,0,0,3,0,22.668
1686,0,138,0,0,29,6,12.345
1688,0,75,0,0,17,4,41.582
1711,1,82,0,0,7,0,4.251
1725,0,90,3,3,24,0,8.695
1726,0,5,0,0,1,0,3.896
1738,0,68,1,1,9,0,4.504
1747,66,10951,115,20,524,114,26.655
1748,58,7769,122,22,386,95,5.556
1763,0,4466,24,6,200,89,5.704
1764,0,2410,20,4,137,74,3.13
1771,478,32642,388,184,1300,38,45.02
1772,258,19885,204,148,682,16,9.861
1774,258,19949,205,149,686,16,7.473
1783,68,1472,19,8,286,8,12.274
1784,45,1051,16,7,198,4,5.751
1791,0,484,0,0,43,0,7.764
1822,87,1582,46,52,257,0,4.762
