bug_29032457_apply,0.381
catcdbviews,0.360
cdcore_mig,0.379
cdcore_cols,5.003
bug29261906_apply,0.341
catappcontainer,0.592
catawrrtvw,2.218
catawrpdbvw,2.127
catawrvw,7.303
dbmssqlu,0.369
dbmssqlt,0.385
prvsash,0.371
prvsspmi,0.352
dbmsgwm,3.040
dbmsoptim,0.349
catost,19.539
dbmsrman,5.715
catadv,2.140
cataivw,1.106
prvtsrv,0.385
prvtash,0.370
prvtsqlt,0.375
prvtaii,0.360
prvthdm,0.359
prvtsqlu,0.355
prvtspmi,0.350
prvtspm,0.344
prvtstai,0.362
prvtoptim,0.410
prvtsqlqi,0.344
prvtrmns,0.373
execsmb,0.448
prvtgwm,7.952
prvtemxi,0.354
prvtdputh,0.341
prvtwrr,0.402
prvtdput,0.348
prvthpui,0.344
prvtbpui,0.349
prvtbpw,0.370
catfusrg,0.678
owmcddlb,0.371
owmddlb,0.351
owmexpb,0.357
bug29394140_apply,0.360
bug_29348176_apply,0.391
bug_29766207_apply,0.368
29201539_rollback,0.367
catmdloc,216.325
prvtcs,0.968
prvtgmd,0.820
sdosempatch,62.457
prvtbpm,0.367
dbmsrmin,0.359
dbmsbkrs,0.391
prvtrmad,0.344
prvtfspi,0.357
prvtbkrs,0.352
catmdh,1.032
catmdlocp1,27.067
sdoepsgx,4.357
sdogmlsc,0.448
sdowfscs,5.485
sdocswadm,0.362
catmdsdop2,28.448
sdogrxml,0.443
prvtgrxh,0.363
prvtgr,0.369
prvtgrxb,0.375
catsem,61.287
prvtawr,0.379
prvtawrs,0.383
prvtstat,1.207
prvsawrs,0.357
prvtbsch,0.442
prvtspcu,0.396
catmacp,1.491
prvtmacp,1.165
catmacg,2.613
bug_29430866_apply,0.394
dbmssodacoll,0.715
prvtsodacoll,0.355
prvtaqiu,0.349
prvtilm,0.374
nothing,0.334
bug_29784106_prepatch,5.940
bug_29202461_apply,0.556
bug_29784106_postpatch,0.351
depsaq,0.887
prvtaqxe,0.373
prvtaqis,0.354
prvtaqim,0.354
prvtaqmi,0.353
prvtaqds,2.997
prvttxfm,0.357
prvtsmbi,0.345
catxdbtm,1.347
prvtjson,0.374
catawrtb,5.314
prvtai,0.349
dbmsai,0.363
prvtstatadvi,0.353
bug_28935293_apply,0.379
prvsaii,0.344
prvsawr,0.346
prvsumfi,0.344
prvtsnap,1.786
bug_30264405_apply,0.657
30035598_apply,0.490
bug_30305880_apply,0.364
bug29416700_apply,0.376
bug28628592_apply,0.394
catwrrvwp,1.010
dbmsrep,0.362
utlcoll,0.362
prvsemx_perf,0.339
prvsawrv,0.966
dbmsappcont,0.409
dbmshadp1,0.962
prvtrlsa,0.360
prvtemx_perf,0.387
prvtperf,0.716
prvtemx_rsrcmgr,0.825
prvtrep,0.344
prvtamgt,0.379
prvtawrv,2.547
prvtatsk,0.366
prvtautorep,0.350
prvtsqld,0.380
prvtds,0.420
prvtdiag,0.370
prvtredacta,0.378
prvtappcont,0.358
prvtpart,0.342
prvthadoop1,1.283
catmetloadxsl,3.702
bug_29738400_apply,0.505
prvtolsdd,1.007
prvt3glh,0.392
prvtgeom,1.016
sdoutlb,1.934
dbmsjson,1.381
catwrrvwc,0.616
bug_29644426_apply,0.364
bug_31001455_apply,0.351
after_apply_script_30657706,1.000
dbmsgwmco,1.417
dbmsgwmut,1.278
dbmsgwmdb,0.814
dbmsgwmpl,2.278
dbmshadp,0.940
prvtldap,0.368
prvtcapi,0.355
prvtinmemadmin,0.368
prvthadoop,1.216
bug_29349874_apply,0.815
bug_28813931_apply,0.347
bug_30528547_apply,0.409
sdoutlh,1.197
prvtimd,1.529
sdopidx,0.358
prvtsidx,1.375
prvtpidx,0.399
prvtmig,0.385
prvttune,0.560
sdoaggrh,1.019
sdoaggrb,0.821
prvt3gl,0.906
prvtsam,1.193
sdoobjtrkrb,0.651
prvtgri,1.990
prvtgrag,0.364
prvttnpc,0.442
prvtpc,1.701
prvttin,0.744
sdordfm,1.560
sdordfb,0.840
sdottsmeta,30.562
prvtgwmco,1.540
prvtgwmdb,2.015
prvtgwmpl,4.108
bug31414524,0.400
bug_30952191_apply,0.345
standard,0.433
stdbody,0.342
stdspec,0.355
prvtxpln,0.370
prvtxschu,0.355
bug_29443559_apply,0.465
catmvrs,0.391
prvtreut,0.364
dbmsobtk,0.372
catlsby,12.596
catpexev,0.548
prvtobtk,0.358
prvtemx_admin,0.357
prvtreie,0.401
prvtpexei,0.343
prvthpexei,0.337
prvtpexe,0.345
prvtaclsrv,0.445
execschlb,0.743
bug_30416603_apply,0.342
prvtsodadml,0.349
prvtsodadom,0.355
prvtsodapls,0.349
prvtsodautil,0.374
dbmssodadom,0.361
dbmssodapls,0.554
dbmssodautil,0.353
bug_31760592_apply,0.343
bug_31628311_apply,0.561
bug_31193292_apply,0.393
bug_31816631_apply,0.365
cdcore_privs,4.082
cdoptim,3.568
bug31092921_apply,0.405
prvtpckl,0.400
catspace,5.201
catlmnr,1.695
catappcont,1.080
catbctab,0.696
catjobq,0.643
prvtkzrxh,0.412
prvsemxi,0.356
dbmsperf,0.359
prvsawri,0.346
prvthcap,0.360
dbmscert,0.358
dbmsbctab,0.368
dbmstbdat,0.378
catplug,0.664
prvtlmd,0.476
prvsspai,0.349
prvtbcap,0.361
prvtblut,0.375
prvtemx_dbhome,0.445
prvtemx_cell,0.370
prvtjob,0.384
prvtlmcb,0.684
prvtplts,0.371
prvtawri,0.355
prvtumfi,0.350
prvtspai,0.355
prvtdst,0.354
prvtcmpr,0.365
prvtsqlq,0.344
prvtbctab,0.351
prvttbdat,0.421
prvtcert,0.526
execemx,1.597
catgwmcat,4.756
bug_31145804_apply,0.345
bug_31011361_apply,0.418
sdotopob,0.439
sdonetmd,3.149
prvtgwmut,1.363
prvtgwmcl,0.795
bug_31942136_apply,0.437
cataudit,3.245
execai,0.386
deptxn,0.620
prvtbord,0.351
prvtsmb,0.342
bug_31945038_apply,0.356
sdogr,0.425
prvtgrih,1.203
execrsa,0.405
catjsont,0.508
catmaintplan,0.398
catsnap,6.378
dbmsmaintplan,0.357
sdolrsb,0.373
bug_31993795_apply,0.352
bug_32080081_apply,4.080
bug_31462082_apply,0.362
catmaintplanv,0.350
prvtmaintplan,0.351
bug_29831567_apply,0.548
catstrr,3.991
prvtbapp,0.368
prvtbstr,0.379
prvtbxstr,0.379
prvthstr,0.375
prvtsqli,0.373
bug_32124176_apply,0.374
bug_32218552_apply,0.355
prvtbsdp,0.350
dbmsappcon,0.378
bug31374373,0.437
prvtappcon,0.351
bug_32190284_apply,0.353
bug_30310195_apply,0.359
prvtxdz0,0.386
prvtxdbz,0.430
bug_32252294_apply,0.358
bug_32355765_apply,0.350
dbmsedu2,0.348
utlrcmp2,0.342
prvtrctv2,0.638
prvtrcmp2,0.339
prvtedu2,0.347
bug_32603152_postapply,0.442
bug_17777718_apply,0.798
owmutls,0.352
owmutlb,0.363
bug_32438777_apply,3.689
bug31115653_postapply,0.438
32385068_apply,1.063
prvtlmsb,0.346
bug_32003908_apply,0.340
cdhcs,14.883
dbmshier,0.364
prvthier,0.344
bug_31926848_apply,0.424
bug_33109335_apply,0.356
bug_32583355_apply,0.909
catggshard,0.362
bug_32610271_apply,0.345
dbmsstr,0.813
dbmsatsk,0.388
dbmsawr,0.375
dbmschnf,0.346
dbmsfus,0.353
dbmsidxu,0.362
dbmsmb,0.353
dbmsmntr,0.357
dbmspspi,0.356
dbmsres,0.368
dbmsslrt,0.676
dbmsslxp,0.358
dbmstran,0.377
dbmstxin,0.386
dbmsuadv,0.392
dbmsumf,0.359
prvthidx,0.341
prvtpstdy,0.354
prvthcmp,0.338
prvthfgr,0.344
prvthfie,0.353
prvthitr,0.349
prvsfus,0.339
prvsfusc,0.340
prvtfus,0.352
prvtpspi,0.383
prvtuadv,0.346
prvthlrt,0.339
dbmssrv,0.396
prvtxplni,0.339
bug_32952285_apply,1.108
bug_33253504_apply,0.912
sdocs,1.975
29201539_apply,0.379
32131774_apply,0.777
epsgsrids32987004,0.845
bug_31639082_apply,0.374
prvtesch,0.387
bug_32440681_apply,0.352
catqos,0.688
prvtwlm,0.348
bug_29931230_apply,0.408
prvtrmin,0.355
prvtcsx,0.448
bug_32567612_apply,0.387
dbmsplts,1.120
bug_31113455_apply,0.371
owmltb,0.370
owmvpkgb,0.359
prvtsqtk,0.544
owmvpkgs,0.386
prvtgra,0.886
prvtgru,0.874
bug_29524043_apply,0.379
bug_29887840_apply,0.399
bug_30518114_apply,0.365
bug32506809_apply,0.933
bug-33344767_apply,0.528
cathive1,2.126
sdordfty,3.152
catmdlocj,39.219
dbmssts,0.367
prvthsmt,0.356
prvthssm,0.352
prvthsrp,0.391
prvthsts,0.380
bug_32012400_apply,0.375
prvtadv,0.365
bug_32258388_apply,0.394
prvthxstr,0.396
catmacc,4.391
bug_32926653_apply,0.363
catcap,5.603
prvtpq,0.361
sdogeom,0.402
bug_30865346_apply,0.537
bug_33648273_apply,0.366
bug34113189,0.353
prvtrmie,0.346
prvtrmpe,0.348
prvtrmge,0.347
prvtrmpa,0.346
bug_33270914_apply,0.451
bug_33313374_apply,0.359
catcheckviews,0.563
33955060_apply,0.537
prvtrtr,1.223
bug_34090927_apply,0.430
catschv,7.796
prvthesh,0.456
bug_28971177_apply,0.363
bug_32880490_apply,0.352
prvtsqlf,0.532
bug_33527739_apply,0.338
bug32425205_apply,2.276
sdoepsgsrid32777,0.372
sdoogcsrid9932775,13.497
sdoepsgdatum6289,0.419
bug_33513494_apply,0.370
catmacd,4.046
catnotifications,0.402
catnotificationsv,0.401
dbmsnotifications,0.359
prvtnotifications,0.356
catlmnr_mig,0.371
bug_29356306_apply,0.450
dbmstsdpm,0.364
epsgsrid8311,10.446
prvtcr,0.351
bug_32634996_apply,0.356
bug_33759204_apply,0.360
dbmsfs,0.365
bug_33942581_apply,0.350
objnum_reuse_apply_script,0.359
dbmscr,0.812
dbmscrs,0.342
bug_35012866_apply,0.398
prvtmb,0.340
sdo_postapply,34.872
srid1005714,39.241
bug_34496630_apply,0.352
bug_35170600_apply,0.345
dbmsinmemadvisor,0.359
prvtinmemadvisor,0.363
bug_32378953_apply,0.417
